property,assistant_mean,assistant_median,assistant_std,assistant_min,assistant_max,alternative_mean,alternative_median,alternative_std,alternative_min,alternative_max,standardized_mean_diff_d
char_count,127.85,130.0,12.495367562673607,103.0,148.0,203.45,204.5,14.823434505077284,174.0,227.0,-5.514661674458634
word_count,18.95,18.5,2.0384462607326044,16.0,23.0,28.1,28.0,2.9894551519069754,22.0,34.0,-3.5762786306747842
token_count,26.5,26.5,2.704771612111494,22.0,31.0,39.25,39.0,4.1023100039393725,32.0,45.0,-3.6695595886879775
system_char_count,56.0,56.0,0.0,56.0,56.0,131.6,131.0,6.908423538657258,118.0,142.0,-15.475968535679298
system_word_count,9.0,9.0,0.0,9.0,9.0,18.15,18.0,1.6630662866176473,15.0,21.0,-7.780840847920359
user_char_count,69.85,72.0,12.495367562673607,45.0,90.0,69.85,72.0,12.495367562673607,45.0,90.0,0.0
user_word_count,9.95,9.5,2.0384462607326044,7.0,14.0,9.95,9.5,2.0384462607326044,7.0,14.0,0.0
n_messages,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
n_system_messages,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
n_user_messages,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
n_assistant_messages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formatting_markers_count,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.523148363780597,0.0,2.0,-2.1626194942529944
lexical_type_token_ratio,0.973662730607811,1.0,0.03584368861165709,0.9,1.0,0.9286566512919323,0.943939393939394,0.05765414215649368,0.7575757575757576,1.0,0.9375483108817261
