subset,predictor,pearson_r,pearson_p,spearman_rho,spearman_p,slope_beta,intercept_alpha,slope_stderr,r_squared
all_conditions,delta_tokens_all,-0.503340971076841,5.2075101537909386e-11,-0.5675967661023972,3.624640732489243e-14,-0.02484257284988218,-0.5641259106267635,0.0035055918135486887,0.2533521331645772
all_conditions,delta_chars_all,-0.5085767160874501,3.044322526591609e-11,-0.5408282942542517,9.041579226133697e-13,-0.0029441367262646747,-0.5583670468014512,0.0004097153253693102,0.2586502761462949
context,delta_tokens_context,-0.5643998950080639,0.0011588144697486655,-0.5454209354208112,0.0018260295165537816,-0.06328250868000636,0.3500943253832781,0.017491845163770597,0.31854724148511354
context,delta_chars_context,-0.6565085307714817,8.153005025397343e-05,-0.6294450168848802,0.00019413751982274153,-0.011324724564040108,0.6463333157532882,0.002459025740380574,0.4310034509757296
format,delta_tokens_format,0.09217403590268101,0.6280741490193497,0.08490178235484731,0.6555441802218366,0.025220115998524837,-1.342294431264653,0.051488078436394885,0.008496052894588728
format,delta_chars_format,0.19877307361237778,0.29233342341450663,0.1631018026679084,0.3891424830125245,0.009097400035646812,-1.5780901330666632,0.008476703272984765,0.039510734793311755
length,delta_tokens_length,0.3311934632120882,0.07381115704089289,0.2546775827240403,0.17440868591905753,0.052668526990900626,-2.9204563817987346,0.028357062668001618,0.10968911007441683
length,delta_chars_length,0.04663886001753047,0.8066654873462922,0.019387213706449392,0.9190064014836248,0.0013978338373188133,-1.7475414310887154,0.0056579063866218655,0.002175183263734802
lexical,delta_tokens_lexical,-0.3827992813824785,0.03681024721931699,-0.3468102408738814,0.06043700174109958,-0.09314710626015289,-0.27369360200167814,0.042482691339466076,0.14653528982694194
lexical,delta_chars_lexical,-0.33047156276363904,0.0744805438680684,-0.2991653217808672,0.10827456152216541,-0.014491657566313265,0.053824182107870155,0.007821539906820585,0.10921145379544181
persona,delta_tokens_persona,0.354098397375995,0.05488445829020636,0.3393722004376973,0.06654787467569304,0.041968693951988226,-0.4973850226155807,0.02094743109996311,0.12538567502424808
persona,delta_chars_persona,0.07654679240511568,0.6876548541014333,0.054904874059709424,0.7732201429890505,0.001881475068164181,-0.48907714105317673,0.004631443367617544,0.005859411427511876
