pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_01_persona,persona,task_photosynthesis,botany,0.18390236762293474,-0.4206142143389936,-0.6045165819619284,0.6045165819619284,False,207,203,-4,27,26,-1
pair_01_length,length,task_photosynthesis,botany,1.9204248524381153,0.3531127772498199,-1.5673120751882954,1.5673120751882954,False,55,325,270,8,41,33
pair_01_format,format,task_photosynthesis,botany,1.2997185836027434,0.1987814201757388,-1.1009371634270047,1.1009371634270047,False,143,178,35,20,25,5
pair_01_lexical,lexical,task_photosynthesis,botany,1.2997185836027434,1.0061596118700051,-0.29355897173273826,0.29355897173273826,False,143,183,40,20,23,3
pair_01_context,context,task_photosynthesis,botany,1.3003196879530332,0.4506076341372479,-0.8497120538157853,0.8497120538157853,False,143,269,126,20,39,19
pair_02_persona,persona,task_gravitation,astrophysics,0.4524394190716646,-0.3124738105079278,-0.7649132295795924,0.7649132295795924,False,205,194,-11,26,23,-3
pair_02_length,length,task_gravitation,astrophysics,1.3688229626261705,0.3752205237186195,-0.9936024389075511,0.9936024389075511,False,61,314,253,10,39,29
pair_02_format,format,task_gravitation,astrophysics,1.525122563958886,-0.05317932626352437,-1.5783018902224102,1.5783018902224102,False,137,171,34,19,23,4
pair_02_lexical,lexical,task_gravitation,astrophysics,1.5251225639588855,0.7406657400965883,-0.7844568238622972,0.7844568238622972,False,137,188,51,19,24,5
pair_02_context,context,task_gravitation,astrophysics,1.5251225639588863,0.7776548430053061,-0.7474677209535803,0.7474677209535803,False,137,261,124,19,36,17
pair_03_persona,persona,task_water_cycle,hydrology,0.5193426207739538,0.12355239351700331,-0.39579022725695046,0.39579022725695046,False,204,195,-9,27,25,-2
pair_03_length,length,task_water_cycle,hydrology,1.893093400859868,0.8169062228643217,-1.0761871779955463,1.0761871779955463,False,58,310,252,10,38,28
pair_03_format,format,task_water_cycle,hydrology,1.5536320859004318,-0.17736863870677427,-1.731000724607206,1.731000724607206,False,142,182,40,20,24,4
